crew_size,prevalence,days,reduction_factor,power
50,0.025,30,0.5,0.063
50,0.025,30,0.8,0.051
50,0.025,60,0.5,0.086
50,0.025,60,0.8,0.061
50,0.025,90,0.5,0.105
50,0.025,90,0.8,0.071
50,0.025,120,0.5,0.131
50,0.025,120,0.8,0.087
50,0.025,150,0.5,0.144
50,0.025,150,0.8,0.1
50,0.025,180,0.5,0.175
50,0.025,180,0.8,0.113
50,0.025,210,0.5,0.184
50,0.025,210,0.8,0.104
50,0.025,240,0.5,0.184
50,0.025,240,0.8,0.109
50,0.05,30,0.5,0.076
50,0.05,30,0.8,0.046
50,0.05,60,0.5,0.13
50,0.05,60,0.8,0.081
50,0.05,90,0.5,0.196
50,0.05,90,0.8,0.114
50,0.05,120,0.5,0.273
50,0.05,120,0.8,0.158
50,0.05,150,0.5,0.349
50,0.05,150,0.8,0.179
50,0.05,180,0.5,0.355
50,0.05,180,0.8,0.193
50,0.05,210,0.5,0.422
50,0.05,210,0.8,0.219
50,0.05,240,0.5,0.455
50,0.05,240,0.8,0.231
50,0.1,30,0.5,0.166
50,0.1,30,0.8,0.07
50,0.1,60,0.5,0.271
50,0.1,60,0.8,0.115
50,0.1,90,0.5,0.372
50,0.1,90,0.8,0.149
50,0.1,120,0.5,0.556
50,0.1,120,0.8,0.231
50,0.1,150,0.5,0.693
50,0.1,150,0.8,0.314
50,0.1,180,0.5,0.75
50,0.1,180,0.8,0.347
50,0.1,210,0.5,0.805
50,0.1,210,0.8,0.355
50,0.1,240,0.5,0.866
50,0.1,240,0.8,0.404
100,0.025,30,0.5,0.082
100,0.025,30,0.8,0.058
100,0.025,60,0.5,0.134
100,0.025,60,0.8,0.094
100,0.025,90,0.5,0.182
100,0.025,90,0.8,0.119
100,0.025,120,0.5,0.247
100,0.025,120,0.8,0.151
100,0.025,150,0.5,0.313
100,0.025,150,0.8,0.176
100,0.025,180,0.5,0.371
100,0.025,180,0.8,0.199
100,0.025,210,0.5,0.418
100,0.025,210,0.8,0.235
100,0.025,240,0.5,0.51
100,0.025,240,0.8,0.298
100,0.05,30,0.5,0.158
100,0.05,30,0.8,0.073
100,0.05,60,0.5,0.281
100,0.05,60,0.8,0.127
100,0.05,90,0.5,0.473
100,0.05,90,0.8,0.223
100,0.05,120,0.5,0.609
100,0.05,120,0.8,0.286
100,0.05,150,0.5,0.73
100,0.05,150,0.8,0.382
100,0.05,180,0.5,0.795
100,0.05,180,0.8,0.435
100,0.05,210,0.5,0.849
100,0.05,210,0.8,0.51
100,0.05,240,0.5,0.91
100,0.05,240,0.8,0.59
100,0.1,30,0.5,0.299
100,0.1,30,0.8,0.13
100,0.1,60,0.5,0.626
100,0.1,60,0.8,0.262
100,0.1,90,0.5,0.819
100,0.1,90,0.8,0.365
100,0.1,120,0.5,0.921
100,0.1,120,0.8,0.475
100,0.1,150,0.5,0.97
100,0.1,150,0.8,0.575
100,0.1,180,0.5,0.987
100,0.1,180,0.8,0.667
100,0.1,210,0.5,0.992
100,0.1,210,0.8,0.721
100,0.1,240,0.5,0.998
100,0.1,240,0.8,0.8
200,0.025,30,0.5,0.152
200,0.025,30,0.8,0.081
200,0.025,60,0.5,0.297
200,0.025,60,0.8,0.164
200,0.025,90,0.5,0.4
200,0.025,90,0.8,0.223
200,0.025,120,0.5,0.575
200,0.025,120,0.8,0.344
200,0.025,150,0.5,0.724
200,0.025,150,0.8,0.456
200,0.025,180,0.5,0.809
200,0.025,180,0.8,0.539
200,0.025,210,0.5,0.885
200,0.025,210,0.8,0.65
200,0.025,240,0.5,0.923
200,0.025,240,0.8,0.723
200,0.05,30,0.5,0.262
200,0.05,30,0.8,0.116
200,0.05,60,0.5,0.533
200,0.05,60,0.8,0.223
200,0.05,90,0.5,0.786
200,0.05,90,0.8,0.402
200,0.05,120,0.5,0.923
200,0.05,120,0.8,0.572
200,0.05,150,0.5,0.981
200,0.05,150,0.8,0.719
200,0.05,180,0.5,0.995
200,0.05,180,0.8,0.819
200,0.05,210,0.5,0.999
200,0.05,210,0.8,0.875
200,0.05,240,0.5,1.0
200,0.05,240,0.8,0.918
200,0.1,30,0.5,0.588
200,0.1,30,0.8,0.201
200,0.1,60,0.5,0.927
200,0.1,60,0.8,0.458
200,0.1,90,0.5,0.989
200,0.1,90,0.8,0.652
200,0.1,120,0.5,0.999
200,0.1,120,0.8,0.776
200,0.1,150,0.5,1.0
200,0.1,150,0.8,0.89
200,0.1,180,0.5,1.0
200,0.1,180,0.8,0.938
200,0.1,210,0.5,1.0
200,0.1,210,0.8,0.966
200,0.1,240,0.5,1.0
200,0.1,240,0.8,0.989
